id;id_belanja;detail;harga;satuan
77;7;Meeting Luar UNS Inn Paket Fullday: Sulawesi Utara;270000;Orang/Paket
78;7;Meeting Luar UNS Inn Paket Fullday: Gorontalo;250000;Orang/Paket
79;7;Meeting Luar UNS Inn Paket Fullday: Sulawesi Barat;323000;Orang/Paket
80;7;Meeting Luar UNS Inn Paket Fullday: Sulawesi Selatan;320000;Orang/Paket
81;7;Meeting Luar UNS Inn Paket Fullday: Sulawesi Tengah;385000;Orang/Paket
82;7;Meeting Luar UNS Inn Paket Fullday: Sulawesi Tenggara;295000;Orang/Paket
83;7;Meeting Luar UNS Inn Paket Fullday: Maluku;346000;Orang/Paket
84;7;Meeting Luar UNS Inn Paket Fullday: Maluku Utara;354000;Orang/Paket
85;7;Meeting Luar UNS Inn Paket Fullday: Papua;478000;Orang/Paket
86;7;Meeting Luar UNS Inn Paket Fullday: Papua Barat;421000;Orang/Paket
87;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): Aceh;772000;Orang/Paket
88;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): Sumatera Utara;764000;Orang/Paket
89;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): Riau;655000;Orang/Paket
90;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): Kepulauan Riau;697000;Orang/Paket
91;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): Jambi;840000;Orang/Paket
92;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): Sumatera Barat;663000;Orang/Paket
93;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): Sumatera Selatan;745000;Orang/Paket
94;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): Lampung;768000;Orang/Paket
95;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): Bengkulu;912000;Orang/Paket
96;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): Bangka Belitung;965000;Orang/Paket
97;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): Banten;1005000;Orang/Paket
98;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): Jawa Barat ;822000;Orang/Paket
99;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): D.K.I. Jakarta;1197000;Orang/Paket
